Date,Staff,Students,Other
01/10/2020,2,142,0
02/10/2020,1,116,0
03/10/2020,2,88,0
04/10/2020,2,49,0
05/10/2020,1,75,0
06/10/2020,3,54,0
07/10/2020,2,59,0
08/10/2020,4,41,0
09/10/2020,1,36,0
10/10/2020,4,35,0
11/10/2020,4,30,1
12/10/2020,0,23,1
13/10/2020,3,25,0
14/10/2020,2,23,0
15/10/2020,3,21,0
16/10/2020,2,12,0
17/10/2020,1,14,1
18/10/2020,1,6,0
19/10/2020,3,21,1
20/10/2020,4,15,0
21/10/2020,5,15,0
22/10/2020,1,6,0
23/10/2020,6,11,0
24/10/2020,2,10,0
25/10/2020,3,4,0
26/10/2020,4,4,0
27/10/2020,2,9,0
28/10/2020,1,6,0
29/10/2020,4,6,0
30/10/2020,2,11,0
31/10/2020,2,4,0
